Company,Date,Revenues_pred_base,OperatingExpenses,GrossProfit,Assets,StockholdersEquity,lag_1,lag_2,diff_1,growth_1,mean_2,month,year,arima_naive,arima_drift,xgb_point,pi_lower,pi_upper,Revenues_actual
JP Morgan,2014-09-30,24246000000.0,,,2526655000000.0,231277000000.0,24454000000.0,22993000000.0,-208000000.0,-0.008505765927864561,24350000000.0,9,2014,24454000000.0,25915000000.0,,,,
Tesla,2024-06-30,25500000000.0,2973000000.0,4578000000.0,112832000000.0,66468000000.0,21301000000.0,23350000000.0,4199000000.0,0.19712689545091777,23400500000.0,6,2024,21301000000.0,19252000000.0,25500000000.0,25500000000.0,25500000000.0,25182000000.0
